Country,Desktop - School %,Desktop - Home %,Laptop - School %,Laptop - Home %,Tablet - School %,Tablet - Home %,Cell phone with Internet %,Internet - School %,Internet - Home %,Mean: Math Score,Mean: Science Score,Mean: Reading Score,Norm Math,Norm Science,Norm Reading
Netherlands,0.915158636898,0.901057579318,0.362397179788,0.849118683901,0.0448883666275,0.413631022327,0.76803760282,0.885076380729,0.974148061105,524.061160752,523.963842045,513.353140282,0.751481175623,0.81124481769,0.797796762309
New Zealand,0.823158914729,0.680959302326,0.331153100775,0.748304263566,0.0557170542636,0.283914728682,0.696947674419,0.859253875969,0.914970930233,504.243676986,521.73390625,518.085057316,0.642785778914,0.795387611842,0.831939775799
Norway,0.64135021097,0.379746835443,0.721518987342,0.92316233622,0.0286475682878,0.431490117699,0.889851210304,0.895847212969,0.97357317344,492.426563424,498.07031499,508.362747457,0.577970999107,0.627114409259,0.761788724062
Poland,0.582583899978,0.794472472033,0.119324413249,0.632594867295,0.0278569861812,0.132923886817,0.686773415223,0.636104408862,0.933976749287,520.723137091,528.82863481,521.598462141,0.733172705673,0.845838647916,0.857290648917
Portugal,0.682582260372,0.899141630901,0.251788268956,0.765200286123,0.0393419170243,0.150751072961,0.648426323319,0.763233190272,0.932761087268,487.088932153,489.148185229,487.789140522,0.548695034742,0.563668614735,0.613340445259
Russia,0.747350079861,0.814287788587,0.325540874111,0.508494264556,0.0669377087266,0.162334833745,0.794104835197,0.644692899666,0.897778423116,484.904849485,487.053010977,479.876686583,0.536715727232,0.548769706221,0.556248357711
Serbia,0.78492728074,0.83825473777,0.137505509035,0.479726751873,0.0841780520053,0.136844424857,0.753195240194,0.605773468488,0.849493168797,450.008462737,445.846006413,448.286385588,0.345315212105,0.255744249908,0.328309434585
Singapore,0.635767619741,0.573119650337,0.286468767073,0.751047168093,0.0812238207977,0.350209433619,0.76069932617,0.635949735932,0.954470952468,569.371430705,547.912646531,538.54808951,1.0,0.98154618846,0.979590205687
Slovakia,0.750440528634,0.747577092511,0.246696035242,0.673788546256,0.0740088105727,0.181497797357,0.620484581498,0.738105726872,0.904845814978,488.559277511,480.150556938,472.384725374,0.556759619221,0.499685945686,0.502190323558
Slovenia,0.533287101248,0.808425797503,0.142857142857,0.684119278779,0.0651872399445,0.189840499307,0.80027739251,0.654299583911,0.927877947295,485.758971169,497.634882542,463.837737639,0.541400433746,0.624018023262,0.440519775349
Spain,0.665389006687,0.704045017126,0.2211710977,0.751019409558,0.0356793345294,0.252365030175,0.682188876203,0.729815690752,0.938835426521,497.376403829,506.619384794,496.330615095,0.60511999909,0.687907352278,0.6749712134
Sweden,0.531151949798,0.563648588077,0.589421783953,0.837740923353,0.0437023756163,0.264455401165,0.886597938144,0.865755266697,0.977588525325,484.058703474,491.45163987,492.385255155,0.532074765877,0.580048617466,0.646503580363
Switzerland,0.657173952476,0.834391438418,0.325956829313,0.791764919282,0.0524215490658,0.318791946309,0.77027027027,0.698621440232,0.974968256847,522.096192844,504.742227517,498.799941429,0.740703673858,0.674558775412,0.692788567704
Turkey,0.45329153605,0.535841170324,0.112643678161,0.290282131661,0.0478578892372,0.0850574712644,0.521421107628,0.407523510972,0.540020898642,449.425328067,464.399618934,476.52592999,0.342116821479,0.387680090254,0.532071068302
Uruguay,0.418500320444,0.683828241829,0.181585131382,0.488998077334,0.0587481307413,0.206793420209,0.509506515702,0.560563982055,0.801538132878,419.202929908,428.732873168,423.640574963,0.176352307869,0.134051743236,0.150478285256
